ticker,model,fold,train_rows,valid_rows,grouped_by_date,accuracy,balanced_accuracy,macro_f1,weighted_f1
MSFT,lightgbm,1,118,119,False,0.3949579831932773,0.35673325934147243,0.35397249809014514,0.38238953335344833
MSFT,lightgbm,2,237,119,False,0.2605042016806723,0.3284021825237879,0.24473922326375422,0.26084063728589735
