trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior
buy_and_hold,11485.41,14.85,89,1,7.78,2.218,,,,
conservative,10021.48,0.21,89,12,1.16,0.278,0.55,0.0,0.25,hold
balanced,9972.81,-0.27,89,15,2.41,-0.175,0.55,0.0,0.5,hold
aggressive,9968.63,-0.31,89,22,4.75,-0.106,0.55,0.0,0.8,hold
