trader,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior,cv_return_pct,cv_excess_return_vs_bh,cv_sharpe_like,cv_num_trades,cv_max_drawdown_pct,cv_selection_score
aggressive,0.65,0.0,0.8,hold,44.66,-108.04,0.622,47,14.3,-11.898
balanced,0.55,0.0,0.5,cash,2.91,-149.79,1.002,7,0.43,-14.0286
conservative,0.45,0.0,0.25,hold,2.07,-150.63,0.31,9,2.27,-15.0254
