model,accuracy,balanced_accuracy,macro_f1,weighted_f1
logistic_regression,0.3298319327731093,0.3674596210480197,0.32183206556101546,0.3451405740262087
calibrated_hist_gradient_boosting,0.3088235294117647,0.34141536469455874,0.299607755545201,0.322720473768642
hist_gradient_boosting,0.3088235294117647,0.34141536469455874,0.299607755545201,0.322720473768642
lightgbm,0.3004201680672269,0.31995682490635363,0.2861031890528253,0.3171274890205653
xgboost,0.2773109243697479,0.28816233952891335,0.25993971076594274,0.2957934122816023
calibrated_random_forest,0.25,0.3543892316019186,0.25163501412584316,0.22417029081717701
random_forest,0.25,0.3543892316019186,0.25163501412584316,0.22417029081717701
dummy_most_frequent,0.2079831932773109,0.3333333333333333,0.11476758535582066,0.0716636304871599
