ticker,selected_model_per_ticker,target_definition_per_ticker,accuracy_per_ticker,balanced_accuracy_per_ticker,macro_f1_per_ticker,weighted_f1_per_ticker,best_trader_per_ticker,best_trader_return_pct_per_ticker,best_trader_max_drawdown_pct_per_ticker,best_trader_sharpe_like_per_ticker,buy_and_hold_return_pct_per_ticker,excess_return_vs_bh_per_ticker,selected_model_universal,target_definition_universal,accuracy_universal,balanced_accuracy_universal,macro_f1_universal,weighted_f1_universal,best_trader_universal,best_trader_return_pct_universal,best_trader_max_drawdown_pct_universal,best_trader_sharpe_like_universal,buy_and_hold_return_pct_universal,excess_return_vs_bh_universal,classification_metrics_directly_comparable
AAPL,random_forest,fixed_threshold,0.45555555555555555,0.45845004668534073,0.36296597349228926,0.5212055664687244,conservative,0.0,0.0,0.0,9.06,-9.06,lightgbm,volatility_scaled,0.37777777777777777,0.33772108843537413,0.32423371647509575,0.3790070242656449,aggressive,2.52,5.12,0.99,9.06,-6.540000000000001,False
MSFT,hist_gradient_boosting,fixed_threshold,0.5,0.35648148148148145,0.3175814084904994,0.5685667867486048,conservative,0.21,1.16,0.278,14.85,-14.639999999999999,lightgbm,volatility_scaled,0.4111111111111111,0.37023809523809526,0.3504221546774738,0.43359225486885056,aggressive,3.46,4.19,1.137,14.85,-11.39,False
