ticker,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,trading_score,avg_trader_return_pct,avg_trader_excess_return_vs_bh,avg_trader_sharpe,avg_trader_drawdown_pct,selection_score
AAPL,dummy_most_frequent,0.20168067226890757,0.3333333333333333,0.11188811188811189,0.06769700887347947,-2.5269999999999997,6.476666666666667,-6.593333333333334,0.5123333333333333,11.5,-2.4151118881118876
AAPL,logistic_regression,0.35294117647058826,0.40371863799283164,0.33737289930800735,0.37311648285920773,-1.3624,-0.06000000000000005,-13.13,0.41500000000000004,3.8699999999999997,-1.0250271006919927
AAPL,random_forest,0.226890756302521,0.3598374295954941,0.23250178939834112,0.20498183358223926,-1.0726666666666667,0.7533333333333333,-12.316666666666665,0.8896666666666667,0.5333333333333333,-0.8401648772683256
AAPL,calibrated_random_forest,0.226890756302521,0.3598374295954941,0.23250178939834112,0.20498183358223926,-1.0726666666666667,0.7533333333333333,-12.316666666666665,0.8896666666666667,0.5333333333333333,-0.8401648772683256
AAPL,hist_gradient_boosting,0.29831932773109243,0.36838837685611886,0.2973012044794223,0.3169098624471368,-2.7421333333333333,-1.5766666666666669,-14.646666666666667,-0.5066666666666666,6.423333333333333,-2.444832128853911
AAPL,calibrated_hist_gradient_boosting,0.29831932773109243,0.36838837685611886,0.2973012044794223,0.3169098624471368,-2.7421333333333333,-1.5766666666666669,-14.646666666666667,-0.5066666666666666,6.423333333333333,-2.444832128853911
AAPL,xgboost,0.2689075630252101,0.31941244239631333,0.26903840536079443,0.29661319988390433,-2.501533333333333,-1.6766666666666667,-14.746666666666668,-0.43966666666666665,4.8933333333333335,-2.232494927972539
AAPL,lightgbm,0.27310924369747897,0.3219278033794163,0.2686661585990445,0.29860121642875015,-2.2344000000000004,0.8666666666666668,-12.203333333333333,-0.38166666666666665,5.27,-1.9657338414009558
MSFT,dummy_most_frequent,0.21428571428571427,0.3333333333333333,0.11764705882352942,0.07563025210084033,-2.198,0.0,-11.979999999999999,0.0,0.0,-2.0803529411764705
MSFT,logistic_regression,0.3067226890756303,0.3312006041032078,0.30629123181402357,0.3171646651932097,-2.425466666666667,-0.4066666666666667,-12.386666666666665,-0.2293333333333333,2.4233333333333333,-2.1191754348526435
MSFT,random_forest,0.27310924369747897,0.3489410336083431,0.2707682388533452,0.24335874805211477,-2.4491333333333336,-0.18000000000000002,-12.160000000000002,-0.19033333333333333,0.3566666666666667,-2.1783650944799886
MSFT,calibrated_random_forest,0.27310924369747897,0.3489410336083431,0.2707682388533452,0.24335874805211477,-2.4491333333333336,-0.18000000000000002,-12.160000000000002,-0.19033333333333333,0.3566666666666667,-2.1783650944799886
MSFT,hist_gradient_boosting,0.31932773109243695,0.3144423525329986,0.3019143066109798,0.3285310850901471,-0.36260000000000003,2.2399999999999998,-9.74,0.863,2.0966666666666662,-0.060685693389020245
MSFT,calibrated_hist_gradient_boosting,0.31932773109243695,0.3144423525329986,0.3019143066109798,0.3285310850901471,-0.36260000000000003,2.2399999999999998,-9.74,0.863,2.0966666666666662,-0.060685693389020245
MSFT,xgboost,0.2857142857142857,0.2569122366615134,0.25084101617109106,0.2949736246793003,-1.9049333333333334,-1.8233333333333333,-13.803333333333333,-0.14300000000000002,3.1799999999999997,-1.6540923171622424
MSFT,lightgbm,0.3277310924369748,0.317985846433291,0.3035402195066061,0.3356537616123804,-1.1222,1.1766666666666667,-10.803333333333333,0.19933333333333336,2.0100000000000002,-0.8186597804933939
