ticker,selected_model,best_cv_macro_f1,best_cv_balanced_accuracy,holdout_macro_f1,holdout_balanced_accuracy,saved_model_path
AAPL,random_forest,0.2325,0.3598,0.363,0.4585,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix_v3/AAPL/AAPL_best_model.joblib
MSFT,hist_gradient_boosting,0.3019,0.3144,0.3176,0.3565,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix_v3/MSFT/MSFT_best_model.joblib
