trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
conservative,10116.19,1.16,225,3,3.03,0.542,-11.91,-2.0126,0.55,0.0,0.25,hold,AAPL
conservative,9969.65,-0.3,225,4,0.42,-0.834,-12.28,-3.1124,0.55,0.0,0.25,hold,MSFT
