trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
aggressive,10510.56,5.11,225,16,6.32,0.639,-7.96,-0.9154,0.55,0.0,0.8,hold,AAPL
aggressive,10485.16,4.85,225,14,11.45,0.496,-7.13,-1.591,0.55,0.0,0.8,hold,MSFT
