trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
conservative,10100.2,1.0,225,5,0.73,0.858,-12.07,-0.4366,0.55,0.0,0.25,hold,AAPL
conservative,10113.8,1.14,225,14,0.66,0.939,-10.84,-0.2242,0.55,0.0,0.25,hold,MSFT
