ticker,trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
AAPL,balanced,10247.55,2.48,225,9,1.76,0.854,-10.59,-0.4162,0.55,0.0,0.5,hold
MSFT,balanced,10671.35,6.71,225,17,1.15,2.096,-5.27,1.431,0.55,0.0,0.5,hold
