trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
aggressive,10043.67,0.44,225,4,0.83,0.368,-12.63,-1.9946,0.55,0.0,0.8,hold,AAPL
aggressive,10056.04,0.56,225,1,0.37,1.104,-11.42,-1.0824,0.55,0.0,0.8,hold,MSFT
