trader,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior,cv_return_pct,cv_excess_return_vs_bh,cv_sharpe_like,cv_num_trades,cv_max_drawdown_pct,cv_selection_score
aggressive,0.55,0.0,0.8,hold,3.71,-8.27,0.477,63,4.77,-0.9224
balanced,0.55,0.0,0.5,hold,1.7,-10.28,0.968,26,0.84,-0.1608
conservative,0.55,0.0,0.25,hold,1.31,-10.67,1.144,26,0.68,-0.0046
