,pred_BEARISH_SIGNAL,pred_NEUTRAL_SIGNAL,pred_BULLISH_SIGNAL
actual_BEARISH_SIGNAL,35,35,11
actual_NEUTRAL_SIGNAL,55,98,32
actual_BULLISH_SIGNAL,24,35,33
