trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior
buy_and_hold,11757.13,17.57,391,1,23.42,0.592,,,,
conservative,10086.25,0.86,391,7,1.33,0.531,0.65,0.0,0.25,hold
balanced,10007.94,0.08,391,7,1.71,0.04,0.65,0.0,0.5,hold
aggressive,9979.43,-0.21,391,55,3.24,-0.003,0.45,0.0,0.8,hold
