feature,importance
atr_14,2549.0
relative_strength_20,2111.0
volatility_10,2104.0
ma50_gap,2003.0
spy_ma50_gap,1951.0
overnight_gap,1814.0
ret_10,1717.0
ret_5,1702.0
high_low_range,1650.0
ret_20,1632.0
rsi_14,1604.0
volume_change,1596.0
ma5_gap,1565.0
ret_3,1556.0
ma20_gap,1538.0
excess_return,1532.0
spy_return,1520.0
return,1356.0
