feature,importance
atr_14,2586.0
volatility_10,2172.0
spy_ma50_gap,2081.0
ma50_gap,1990.0
high_low_range,1965.0
relative_strength_20,1909.0
ret_5,1795.0
rsi_14,1757.0
overnight_gap,1740.0
ma20_gap,1719.0
volume_change,1599.0
ret_10,1552.0
ma5_gap,1526.0
ret_3,1508.0
ret_20,1500.0
spy_return,1470.0
return,1393.0
excess_return,1238.0
