,pred_BEARISH_SIGNAL,pred_NEUTRAL_SIGNAL,pred_BULLISH_SIGNAL
actual_BEARISH_SIGNAL,19,30,14
actual_NEUTRAL_SIGNAL,23,107,66
actual_BULLISH_SIGNAL,8,26,46
