held_out_ticker,model,train_ticker_count,train_rows,development_rows,holdout_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,holdout_accuracy,holdout_balanced_accuracy,holdout_macro_f1,holdout_weighted_f1
AAPL,lightgbm,1,339,339,71,0.5073746312684366,0.47416855631141347,0.4596618020466043,0.5125358426072882,0.2112676056338028,0.3357142857142857,0.14700704225352113,0.183594524895854
MSFT,lightgbm,1,339,339,71,0.5722713864306784,0.4615985932849959,0.46620472244331035,0.5435840397221208,0.6197183098591549,0.4852459016393443,0.3878112225938313,0.6886491748708528
