,pred_BEARISH_SIGNAL,pred_NEUTRAL_SIGNAL,pred_BULLISH_SIGNAL
actual_BEARISH_SIGNAL,5,36,26
actual_NEUTRAL_SIGNAL,15,116,72
actual_BULLISH_SIGNAL,3,35,50
