feature,importance
atr_14,0.08733629117887304
ma50_gap,0.07493521867036404
volatility_10,0.06950415059759629
rsi_14,0.06879601599255196
relative_strength_20,0.06668956123207602
spy_ma50_gap,0.06485848390377741
ma20_gap,0.061165345098223405
ret_20,0.05975315487310358
ret_10,0.05395011297644728
ret_5,0.05387995148196362
high_low_range,0.04892440658005491
ma5_gap,0.04486818023461813
ret_3,0.043068253919260606
excess_return,0.0422709092993061
volume_change,0.041499078839953865
spy_return,0.04126027185772088
overnight_gap,0.039310149207333424
return,0.03793046405677537
