trader,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior,cv_return_pct,cv_excess_return_vs_bh,cv_sharpe_like,cv_num_trades,cv_max_drawdown_pct,cv_selection_score
aggressive,0.55,0.0,0.8,hold,1.67,-11.4,1.535,6,0.35,0.353
balanced,0.55,0.0,0.5,hold,0.12,-12.95,0.146,3,0.89,-2.2558
conservative,0.55,0.0,0.25,hold,0.47,-12.6,1.072,2,0.3,-1.224
