ticker,model,fold,train_rows,valid_rows,grouped_by_date,accuracy,balanced_accuracy,macro_f1,weighted_f1
AAPL,xgboost,1,118,119,False,0.3865546218487395,0.40814019219898245,0.35937975068409855,0.37965614947712134
AAPL,xgboost,2,237,119,False,0.14285714285714285,0.37234042553191493,0.10707070707070708,0.16409472880061116
