feature,importance
atr_14,0.09513868135822103
spy_ma50_gap,0.08655050080917316
ma50_gap,0.06674325215141699
volatility_10,0.064064116325806
relative_strength_20,0.06149363248595943
rsi_14,0.05935044454898813
ret_10,0.05918882318739459
high_low_range,0.05874178292361512
ma20_gap,0.056467239764560126
ret_20,0.05380083714282892
ret_5,0.046828802961223236
ret_3,0.0462139648943159
ma5_gap,0.04487407130725967
overnight_gap,0.04441573484888427
excess_return,0.04232483398341609
spy_return,0.039603727767700804
volume_change,0.03717505999712156
return,0.03702449354211493
