trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior
buy_and_hold,12825.95,28.26,391,1,30.8,0.647,,,,
aggressive,10152.07,1.52,391,5,0.97,0.505,0.55,0.0,0.6,cash
balanced,10000.0,0.0,391,0,0.0,0.0,0.65,0.0,0.5,hold
conservative,10000.0,0.0,391,0,0.0,0.0,0.45,0.0,0.1875,hold
