trader,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior,cv_return_pct,cv_excess_return_vs_bh,cv_sharpe_like,cv_num_trades,cv_max_drawdown_pct,cv_selection_score
aggressive,0.55,0.0,0.6,cash,-4.66,-133.74,-0.222,94,9.35,-14.718
balanced,0.65,0.0,0.5,hold,2.05,-127.03,0.825,8,0.74,-11.9668
conservative,0.45,0.0,0.1875,hold,2.44,-126.64,0.879,12,0.98,-11.9026
