trader,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior,cv_return_pct,cv_excess_return_vs_bh,cv_sharpe_like,cv_num_trades,cv_max_drawdown_pct,cv_selection_score
aggressive,0.65,0.0,0.8,hold,20.43,-330.47,0.612,169,9.48,-34.2626
balanced,0.65,0.0,0.5,hold,11.68,-339.22,1.127,81,2.38,-33.0806
conservative,0.65,0.0,0.25,hold,6.07,-344.83,1.059,53,1.51,-33.6052
