model,accuracy,balanced_accuracy,macro_f1,weighted_f1
hist_gradient_boosting,0.35921165381319625,0.3273130669932732,0.3225897615790042,0.3532752605793726
logistic_regression,0.334018851756641,0.33456936893638767,0.32228777086559945,0.33616426899580293
lightgbm,0.3556126820908312,0.32481487023676936,0.3196447490527579,0.34928904339433275
xgboost,0.36503856041131105,0.3247808452272911,0.3180630881250826,0.3527250182994937
random_forest,0.33479005998286204,0.32854391247099374,0.29894326778120417,0.31545747711691996
calibrated_random_forest,0.37677806341045417,0.3320753400396448,0.2615504702836291,0.2940372827022137
calibrated_hist_gradient_boosting,0.37189374464438735,0.32790071883363914,0.24508032152391152,0.2765480021487211
dummy_most_frequent,0.37437874892887746,0.3244185711111991,0.20017406489377074,0.23483407459240913
