model,trading_score,avg_trader_excess_return_vs_bh,avg_trader_sharpe,avg_trader_drawdown_pct
dummy_most_frequent,-22.13554,-198.3106666666667,0.7081000000000001,22.326999999999998
random_forest,-30.411986666666667,-306.42333333333335,0.48293333333333327,1.5493333333333332
xgboost,-30.68843333333333,-302.2593333333333,0.4663666666666667,4.91
calibrated_random_forest,-30.872400000000006,-305.358,0.29133333333333333,2.1550000000000002
logistic_regression,-30.91354,-305.5683333333333,0.2782,3.752
calibrated_hist_gradient_boosting,-30.958133333333336,-305.644,0.2912,1.6883333333333332
lightgbm,-31.078799999999994,-295.15566666666666,0.4017666666666667,10.583333333333332
hist_gradient_boosting,-31.825933333333335,-303.36033333333336,0.27949999999999997,8.578333333333333
