held_out_ticker,model,train_ticker_count,train_rows,evaluation_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1
AAPL,xgboost,1,358,358,0.4776536312849162,0.4047457517606771,0.37657057318074266,0.4622669117224557
MSFT,xgboost,1,358,358,0.46368715083798884,0.4401747157785805,0.43569076501087833,0.46910426525695487
