trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior
buy_and_hold,10905.87,9.06,89,1,12.01,1.402,,,,
aggressive,10252.03,2.52,89,34,5.12,0.99,0.55,0.0,0.8,hold
balanced,10148.93,1.49,89,17,2.7,1.035,0.55,0.0,0.5,hold
conservative,10090.14,0.9,89,16,1.35,1.213,0.55,0.0,0.25,hold
