feature,importance
atr_14,2709.0
spy_ma50_gap,2622.0
volatility_10,2196.0
ma50_gap,1990.0
relative_strength_20,1889.0
overnight_gap,1824.0
ret_20,1812.0
high_low_range,1796.0
ret_10,1703.0
ret_3,1659.0
ret_5,1598.0
volume_change,1522.0
ma20_gap,1519.0
spy_return,1436.0
excess_return,1336.0
ma5_gap,1319.0
return,1296.0
rsi_14,1274.0
