ticker,model,fold,train_rows,valid_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1
XOM,lightgbm,1,387,389,0.34190231362467866,0.3410158392614533,0.30341874083331166,0.30264959431369887
XOM,lightgbm,2,776,389,0.42159383033419023,0.36963608411507126,0.35409159159159165,0.39579367285022815
XOM,lightgbm,3,1165,389,0.33676092544987146,0.3140028356523202,0.3139479904839079,0.3391135119186528
