trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior
buy_and_hold,16446.48,64.46,391,1,24.35,1.4,,,,
conservative,10160.52,1.61,391,3,0.66,1.548,0.45,0.0,0.1875,cash
aggressive,10030.29,0.3,391,5,0.99,0.2,0.65,0.0,0.8,hold
balanced,10020.95,0.21,391,3,0.0,1.446,0.55,0.0,0.375,cash
