feature,importance
ma50_gap,0.07125341147184372
spy_ma50_gap,0.06625799089670181
atr_14,0.06541741639375687
volatility_10,0.06474820524454117
rsi_14,0.06160222366452217
ret_20,0.061139434576034546
ret_10,0.059263233095407486
relative_strength_20,0.05678611621260643
ma20_gap,0.0557459332048893
high_low_range,0.05410623550415039
ret_3,0.052398812025785446
ma5_gap,0.04904336482286453
overnight_gap,0.0483567900955677
ret_5,0.04796615242958069
spy_return,0.0473770909011364
return,0.04725804924964905
volume_change,0.04615708068013191
excess_return,0.045122526586055756
