trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,selected_min_bull_probability,selected_min_probability_margin,selected_max_allocation,selected_neutral_behavior
buy_and_hold,11485.41,14.85,89,1,7.78,2.218,,,,
aggressive,10345.54,3.46,89,36,4.19,1.137,0.55,0.0,0.8,hold
balanced,10196.31,1.96,89,21,2.71,1.219,0.55,0.0,0.5,hold
conservative,10098.12,0.98,89,21,1.24,1.26,0.55,0.0,0.25,hold
