feature,importance
atr_14,0.7258598172379803
ret_20,0.6791419790560228
ma20_gap,0.46163581399758474
spy_ma50_gap,0.4275525465721231
ma50_gap,0.41413064633185437
volatility_10,0.3370443174458176
rsi_14,0.31979802029705234
relative_strength_20,0.30774537803134017
ret_10,0.2842994192837009
ret_5,0.24998649566352263
ma5_gap,0.24320708014461892
volume_change,0.1354419155243299
high_low_range,0.13077070536314114
ret_3,0.11870792139344699
spy_return,0.09070407664493906
overnight_gap,0.08315477314489272
excess_return,0.07012213450255364
return,0.03626921642111496
