ticker,selected_model_per_ticker,accuracy_per_ticker,balanced_accuracy_per_ticker,macro_f1_per_ticker,weighted_f1_per_ticker,best_trader_per_ticker,best_trader_return_pct_per_ticker,best_trader_max_drawdown_pct_per_ticker,best_trader_sharpe_like_per_ticker,buy_and_hold_return_pct_per_ticker,excess_return_vs_bh_per_ticker,selected_model_universal,accuracy_universal,balanced_accuracy_universal,macro_f1_universal,weighted_f1_universal,best_trader_universal,best_trader_return_pct_universal,best_trader_max_drawdown_pct_universal,best_trader_sharpe_like_universal,buy_and_hold_return_pct_universal,excess_return_vs_bh_universal
AAPL,random_forest,0.4444444444444444,0.4108309990662931,0.34420024420024414,0.5162271062271062,conservative,0.0,0.0,0.0,9.06,-9.06,xgboost,0.6,0.31666666666666665,0.3069987118935165,0.5919421783311865,aggressive,0.99,2.61,0.824,9.06,-8.07
MSFT,hist_gradient_boosting,0.5,0.35648148148148145,0.3175814084904994,0.5685667867486048,conservative,0.21,1.16,0.278,14.85,-14.639999999999999,xgboost,0.45555555555555555,0.25925925925925924,0.25040650406504067,0.5120867208672087,balanced,0.31,2.08,0.287,14.85,-14.54
