ticker,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,trading_score,avg_trader_return_pct,avg_trader_excess_return_vs_bh,avg_trader_sharpe,avg_trader_drawdown_pct,selection_score
AAPL,dummy_most_frequent,0.20168067226890757,0.3333333333333333,0.11188811188811189,0.06769700887347947,-2.5269999999999997,6.476666666666667,-6.593333333333334,0.5123333333333333,11.5,-2.4151118881118876
AAPL,logistic_regression,0.35294117647058826,0.40371863799283164,0.33737289930800735,0.37311648285920773,-1.3624,-0.06000000000000005,-13.13,0.41500000000000004,3.8699999999999997,-1.0250271006919927
AAPL,random_forest,0.226890756302521,0.3598374295954941,0.23285507909589312,0.20526774870490877,-1.0422666666666667,0.7533333333333333,-12.316666666666665,0.9176666666666667,0.5133333333333333,-0.8094115875707736
AAPL,calibrated_random_forest,0.226890756302521,0.3598374295954941,0.23285507909589312,0.20526774870490877,-1.0422666666666667,0.7533333333333333,-12.316666666666665,0.9176666666666667,0.5133333333333333,-0.8094115875707736
AAPL,hist_gradient_boosting,0.31092436974789917,0.3652521761392729,0.3034913003663004,0.33775048480930836,-2.7068,-1.5733333333333333,-14.643333333333333,-0.4716666666666667,6.423333333333333,-2.4033086996336994
AAPL,calibrated_hist_gradient_boosting,0.31092436974789917,0.3652521761392729,0.3034913003663004,0.33775048480930836,-2.7068,-1.5733333333333333,-14.643333333333333,-0.4716666666666667,6.423333333333333,-2.4033086996336994
AAPL,xgboost,0.2647058823529412,0.31726190476190474,0.2665959453088166,0.2914884765787503,-2.4290666666666665,-1.49,-14.56,-0.40866666666666673,4.703333333333333,-2.16247072135785
AAPL,lightgbm,0.25630252100840334,0.31811955965181776,0.2579577285459638,0.27530477431614353,-2.8259333333333334,-1.42,-14.49,-0.7193333333333332,5.48,-2.5679756047873696
MSFT,dummy_most_frequent,0.21428571428571427,0.3333333333333333,0.11764705882352942,0.07563025210084033,-2.198,0.0,-11.979999999999999,0.0,0.0,-2.0803529411764705
MSFT,logistic_regression,0.3067226890756303,0.3312006041032078,0.30629123181402357,0.3171646651932097,-2.425466666666667,-0.4066666666666667,-12.386666666666665,-0.2293333333333333,2.4233333333333333,-2.1191754348526435
MSFT,random_forest,0.27310924369747897,0.3489410336083431,0.2705966204418217,0.24315268985768765,-2.4491333333333336,-0.18000000000000002,-12.160000000000002,-0.19033333333333333,0.3566666666666667,-2.178536712891512
MSFT,calibrated_random_forest,0.27310924369747897,0.3489410336083431,0.2705966204418217,0.24315268985768765,-2.4491333333333336,-0.18000000000000002,-12.160000000000002,-0.19033333333333333,0.3566666666666667,-2.178536712891512
MSFT,hist_gradient_boosting,0.31092436974789917,0.30137045710816207,0.29254803392734424,0.3218510652587732,-0.6084,1.6033333333333333,-10.376666666666667,0.6816666666666666,2.103333333333333,-0.3158519660726558
MSFT,calibrated_hist_gradient_boosting,0.31092436974789917,0.30137045710816207,0.29254803392734424,0.3218510652587732,-0.6084,1.6033333333333333,-10.376666666666667,0.6816666666666666,2.103333333333333,-0.3158519660726558
MSFT,xgboost,0.2857142857142857,0.2569122366615134,0.25084101617109106,0.2949736246793003,-1.9049333333333334,-1.8233333333333333,-13.803333333333333,-0.14300000000000002,3.1799999999999997,-1.6540923171622424
MSFT,lightgbm,0.3277310924369748,0.317985846433291,0.3035402195066061,0.3356537616123804,-1.1222,1.1766666666666667,-10.803333333333333,0.19933333333333336,2.0100000000000002,-0.8186597804933939
