model,accuracy,balanced_accuracy,macro_f1,weighted_f1
logistic_regression,0.3298319327731093,0.3674596210480197,0.32183206556101546,0.3451405740262087
calibrated_hist_gradient_boosting,0.31092436974789917,0.3333113166237175,0.2980196671468223,0.3298007750340408
hist_gradient_boosting,0.31092436974789917,0.3333113166237175,0.2980196671468223,0.3298007750340408
lightgbm,0.29201680672268904,0.3180527030425544,0.28074897402628496,0.30547926796426195
xgboost,0.27521008403361347,0.2870870707117091,0.25871848073995385,0.2932310506290253
calibrated_random_forest,0.25,0.3543892316019186,0.2517258497688574,0.2242102192812982
random_forest,0.25,0.3543892316019186,0.2517258497688574,0.2242102192812982
dummy_most_frequent,0.2079831932773109,0.3333333333333333,0.11476758535582066,0.0716636304871599
