ticker,selected_model,best_cv_macro_f1,best_cv_balanced_accuracy,holdout_macro_f1,holdout_balanced_accuracy,saved_model_path
AAPL,random_forest,0.2329,0.3598,0.3442,0.4108,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix/AAPL/AAPL_best_model.joblib
MSFT,hist_gradient_boosting,0.2925,0.3014,0.3176,0.3565,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix/MSFT/MSFT_best_model.joblib
