ticker,selected_model,best_cv_macro_f1,best_cv_balanced_accuracy,holdout_macro_f1,holdout_balanced_accuracy,saved_model_path
AAPL,xgboost,0.2923,0.3052,0.307,0.3167,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix/universal/universal_stock_model.joblib
MSFT,xgboost,0.2923,0.3052,0.2504,0.2593,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix/universal/universal_stock_model.joblib
