trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
balanced,10532.37,5.32,237,1,10.63,0.48,-7.75,-2.5706,0.55,0.0,0.5,hold,AAPL
balanced,11581.89,15.82,237,2,6.94,1.298,3.84,-0.1508,0.55,0.0,0.5,hold,MSFT
