feature,importance
rsi_14,0.061886370182037354
ma50_gap,0.05632274970412254
atr_pct_14,0.051205284893512726
spy_ma50_gap,0.048789385706186295
beta_60_spy,0.04816477373242378
volatility_regime_20_60,0.04738553613424301
ma5_gap,0.04674733057618141
atr_14,0.04673808813095093
ret_20,0.0462779700756073
ma20_gap,0.04581242427229881
ret_10,0.045750100165605545
excess_return,0.04512207582592964
volatility_10,0.04277382418513298
overnight_gap,0.042732883244752884
spy_return,0.042706847190856934
ret_3,0.04263893514871597
return,0.04262259230017662
high_low_range,0.040939442813396454
ret_5,0.04058915749192238
log_dollar_volume,0.039627645164728165
relative_strength_20,0.039481308311223984
volume_change,0.035685308277606964
