trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
conservative,10257.6,2.58,237,1,5.15,0.457,-10.49,-2.21,0.55,0.0,0.25,hold,AAPL
conservative,10805.44,8.05,237,2,3.35,1.359,-3.93,-0.436,0.55,0.0,0.25,hold,MSFT
