trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
conservative,10162.91,1.63,237,6,0.39,1.839,-11.44,0.6482,0.55,0.0,0.25,hold,AAPL
conservative,10016.46,0.16,237,2,0.02,1.263,-11.82,-0.9214,0.55,0.0,0.25,hold,MSFT
