trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
aggressive,10010.31,0.1,237,44,10.04,0.063,-12.97,-2.4388,0.55,0.0,0.8,hold,AAPL
aggressive,10871.54,8.72,237,35,3.24,1.414,-3.26,0.6992,0.55,0.0,0.8,hold,MSFT
