model,fold,train_rows,valid_rows,grouped_by_date,accuracy,balanced_accuracy,macro_f1,weighted_f1
calibrated_hist_gradient_boosting,1,236,238,True,0.35294117647058826,0.3286951440532113,0.3285794432646592,0.35502218259571755
calibrated_hist_gradient_boosting,2,474,238,True,0.14285714285714285,0.32169921027510195,0.12802315448473306,0.11453828310528624
