ticker,trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
AAPL,aggressive,10367.45,3.67,237,31,7.16,0.526,-9.4,-1.2732,0.55,0.0,0.8,hold
MSFT,aggressive,10030.73,0.31,237,19,2.99,0.108,-11.67,-1.4178,0.55,0.0,0.8,hold
