model,trading_score,avg_trader_excess_return_vs_bh,avg_trader_sharpe,avg_trader_drawdown_pct
calibrated_hist_gradient_boosting,-1.5740333333333334,-12.268333333333334,0.16399999999999998,4.26
hist_gradient_boosting,-1.5740333333333334,-12.268333333333334,0.16399999999999998,4.26
lightgbm,-1.8937666666666666,-12.42,-0.1991666666666667,3.7716666666666665
logistic_regression,-1.9049333333333334,-12.783333333333333,0.08733333333333336,3.1716666666666664
calibrated_random_forest,-1.9157333333333333,-12.275000000000002,0.1925,0.395
random_forest,-1.9157333333333333,-12.275000000000002,0.1925,0.395
xgboost,-2.126933333333333,-14.073333333333334,-0.244,3.963333333333333
dummy_most_frequent,-2.3625,-9.286666666666665,0.25616666666666665,5.75
