ticker,selected_model_per_ticker,accuracy_per_ticker,balanced_accuracy_per_ticker,macro_f1_per_ticker,weighted_f1_per_ticker,best_trader_per_ticker,best_trader_return_pct_per_ticker,best_trader_max_drawdown_pct_per_ticker,best_trader_sharpe_like_per_ticker,buy_and_hold_return_pct_per_ticker,excess_return_vs_bh_per_ticker,selected_model_universal,accuracy_universal,balanced_accuracy_universal,macro_f1_universal,weighted_f1_universal,best_trader_universal,best_trader_return_pct_universal,best_trader_max_drawdown_pct_universal,best_trader_sharpe_like_universal,buy_and_hold_return_pct_universal,excess_return_vs_bh_universal
AAPL,logistic_regression,0.5333333333333333,0.39117647058823524,0.3313131313131313,0.5582491582491582,balanced,0.5,0.15,2.723,9.06,-8.56,lightgbm,0.36619718309859156,0.34642857142857136,0.25572649572649575,0.42369086312748283,aggressive,0.82,4.17,0.454,9.06,-8.24
MSFT,hist_gradient_boosting,0.5,0.35648148148148145,0.3175814084904994,0.5685667867486048,conservative,0.21,1.16,0.278,14.85,-14.639999999999999,lightgbm,0.4647887323943662,0.3639344262295083,0.2925553375906062,0.5496831735435359,aggressive,4.26,2.32,1.98,14.85,-10.59
