model,fold,train_rows,valid_rows,grouped_by_date,accuracy,balanced_accuracy,macro_f1,weighted_f1
lightgbm,1,222,226,True,0.4336283185840708,0.3489387776387151,0.347152668206383,0.4316740944183497
lightgbm,2,448,226,True,0.2743362831858407,0.36073677136389365,0.25572688572514995,0.2668887179429834
