trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
conservative,10052.76,0.53,338,15,0.45,0.841,-12.54,-0.467,0.55,0.0,0.25,hold,AAPL
conservative,10000.0,0.0,338,0,0.0,0.0,-11.98,-2.198,0.55,0.0,0.25,hold,MSFT
