trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
balanced,9976.03,-0.24,338,8,0.91,-0.269,-13.31,-1.7092,0.55,0.0,0.5,hold,AAPL
balanced,10288.67,2.89,338,7,1.11,1.226,-9.09,0.1838,0.55,0.0,0.5,hold,MSFT
