trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior,ticker
balanced,10323.66,3.24,338,66,3.81,0.619,-9.83,-0.8212,0.55,0.0,0.5,hold,AAPL
balanced,10430.39,4.3,338,5,1.22,1.305,-7.68,0.3906,0.55,0.0,0.5,hold,MSFT
