ticker,selected_model,best_cv_macro_f1,best_cv_balanced_accuracy,holdout_macro_f1,holdout_balanced_accuracy,saved_model_path
AAPL,lightgbm,0.3139,0.346,0.3242,0.3377,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix_v3/universal/universal_stock_model.joblib
MSFT,lightgbm,0.3139,0.346,0.3504,0.3702,/home/xatan/dev/projects/FYP-Data/trading/output_smoke_universal_fix_v3/universal/universal_stock_model.joblib
