model,accuracy,balanced_accuracy,macro_f1,weighted_f1,trading_score,avg_trader_return_pct,avg_trader_excess_return_vs_bh,avg_trader_sharpe,avg_trader_drawdown_pct,selection_score,loto_accuracy,loto_balanced_accuracy,loto_macro_f1,loto_weighted_f1,unseen_generalization_score,combined_universal_selection_score_raw,rank_unseen_generalization,rank_trading_score,rank_macro_f1,norm_rank_unseen_generalization,norm_rank_trading_score,norm_rank_macro_f1,combined_universal_selection_score
lightgbm,0.35398230088495575,0.346003328867779,0.3139295392953929,0.36740197136484637,0.5724,10.121666666666666,-2.4033333333333333,1.3573333333333333,4.538333333333333,0.8863295392953929,0.5486725663716814,0.4677318837449795,0.4639676727239288,0.533286096423449,0.4654733571323491,0.474819777317101,1.0,1.0,4.0,1.0,1.0,0.5714285714285714,0.9357142857142858
xgboost,0.3915929203539823,0.36589128404985183,0.33806349182807294,0.4011264076345393,-0.1589,4.826666666666667,-7.698333333333333,0.9943333333333334,3.1950000000000003,0.17916349182807292,0.551622418879056,0.4431898940360849,0.43809873595609805,0.5230444781782315,0.44013519918809274,0.24511388332766199,3.0,2.0,1.0,0.7142857142857143,0.8571428571428571,1.0,0.8
hist_gradient_boosting,0.37610619469026546,0.3638756952056185,0.3259823745492535,0.3856090009421276,-1.1159666666666668,2.055,-10.469999999999999,0.42250000000000004,4.081666666666667,-0.7899842921174133,0.5398230088495575,0.45303169452858827,0.44853193525012197,0.5285090236800891,0.4503318389615085,-0.03821013238878229,2.0,5.0,3.0,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.7071428571428571
logistic_regression,0.3473451327433628,0.33376838658168584,0.31080536263585856,0.3665328386731,-0.9766666666666667,1.3,-11.225,0.4825,1.4166666666666667,-0.6658613040308081,0.4557522123893805,0.42288389270721716,0.41091944828004556,0.47151876895246203,0.4157052260509142,-0.017741321276618364,4.0,3.0,6.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714
random_forest,0.3053097345132743,0.3470655895208325,0.28632131910218506,0.31424617741348615,-1.0484,0.9199999999999999,-11.605000000000002,0.6805,0.57,-0.7620786808978149,0.443952802359882,0.4235835004490579,0.4036464399777021,0.4550333224731924,0.41162126416624445,-0.04518010684323775,5.0,4.0,7.0,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.42857142857142855
