ticker,trader,final_portfolio_value,return_pct,num_days,num_trades,max_drawdown_pct,sharpe_like,excess_return_vs_bh,selection_score,min_bull_probability,min_probability_margin,max_allocation,neutral_behavior
AAPL,aggressive,12490.84,24.91,338,97,8.4,1.478,11.84,1.654,0.55,0.0,0.8,hold
MSFT,aggressive,11092.37,10.92,338,47,9.28,0.742,-1.06,-0.4776,0.55,0.0,0.8,hold
