,pred_BEARISH_SIGNAL,pred_NEUTRAL_SIGNAL,pred_BULLISH_SIGNAL
actual_BEARISH_SIGNAL,24,40,10
actual_NEUTRAL_SIGNAL,19,156,11
actual_BULLISH_SIGNAL,9,50,20
