held_out_ticker,model,train_ticker_count,train_rows,development_rows,holdout_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,holdout_accuracy,holdout_balanced_accuracy,holdout_macro_f1,holdout_weighted_f1
AAPL,lightgbm,1,339,339,90,0.5073746312684366,0.46339758125472413,0.4490993666118787,0.5094714764541463,0.28888888888888886,0.2748299319727891,0.21810367982809561,0.262118363327066
MSFT,lightgbm,1,339,339,90,0.5899705014749262,0.47206618623523483,0.47883597883597884,0.5571007163927518,0.45555555555555555,0.3623015873015873,0.35731922398589067,0.4727572016460906
